model,cate,accu
4,mountain,12.943239795918368
4,forest,7.975924744897959
4,buildings,12.908163265306122
4,sea,7.4609375
4,street,6.700414540816326
8,mountain,15.96859056122449
8,forest,8.75079719387755
8,buildings,11.697225765306122
8,sea,6.642219387755102
8,street,9.550382653061224
12,mountain,18.172034438775512
12,forest,9.013073979591837
12,buildings,13.659119897959183
12,sea,8.908641581632653
12,street,10.555644132653061
16,mountain,17.16438137755102
16,forest,10.439253826530612
16,buildings,16.574457908163264
16,sea,9.454719387755102
16,street,15.153858418367347
20,mountain,20.754942602040817
20,forest,12.678571428571429
20,buildings,16.116071428571427
20,sea,12.628348214285714
20,street,13.831313775510203
24,mountain,22.118941326530614
24,forest,15.063775510204081
24,buildings,16.238839285714285
24,sea,14.60857780612245
24,street,15.029496173469388
28,mountain,18.736447704081634
28,forest,12.378826530612244
28,buildings,15.667251275510203
28,sea,10.419323979591837
28,street,15.008769132653061
32,mountain,22.08625637755102
32,forest,14.659598214285714
32,buildings,18.687021683673468
32,sea,15.092474489795919
32,street,18.394451530612244
36,mountain,22.403539540816325
36,forest,16.768176020408163
36,buildings,16.221301020408163
36,sea,12.849170918367347
36,street,16.690848214285715
40,mountain,20.160235969387756
40,forest,16.230867346938776
40,buildings,17.189891581632654
40,sea,11.009247448979592
40,street,17.124521683673468
44,mountain,20.652104591836736
44,forest,13.92139668367347
44,buildings,18.174426020408163
44,sea,12.904177295918368
44,street,14.809470663265307
48,mountain,21.304209183673468
48,forest,18.254942602040817
48,buildings,18.014190051020407
48,sea,12.911352040816327
48,street,21.14716198979592
52,mountain,21.687659438775512
52,forest,18.454241071428573
52,buildings,18.899872448979593
52,sea,15.69595025510204
52,street,18.261320153061224
56,mountain,22.714445153061224
56,forest,18.836096938775512
56,buildings,17.10220025510204
56,sea,14.536033163265307
56,street,18.082748724489797
60,mountain,21.803252551020407
60,forest,19.986447704081634
60,buildings,19.408482142857142
60,sea,14.402104591836734
60,street,19.682716836734695
64,mountain,22.655452806122447
64,forest,19.85092474489796
64,buildings,19.355867346938776
64,sea,17.072704081632654
64,street,20.4703443877551
68,mountain,23.203125
68,forest,16.977040816326532
68,buildings,18.5530931122449
68,sea,14.205994897959183
68,street,18.6344068877551
72,mountain,25.044642857142858
72,forest,20.605867346938776
72,buildings,20.333227040816325
72,sea,16.316964285714285
72,street,20.071747448979593
76,mountain,23.70376275510204
76,forest,20.323660714285715
76,buildings,19.960140306122447
76,sea,17.854751275510203
76,street,19.705835459183675
80,mountain,25.6656568877551
80,forest,19.661989795918366
80,buildings,22.783801020408163
80,sea,18.150510204081634
80,street,19.453125
84,mountain,26.463647959183675
84,forest,21.88376913265306
84,buildings,21.5234375
84,sea,20.184151785714285
84,street,23.235809948979593
88,mountain,29.225127551020407
88,forest,22.081473214285715
88,buildings,22.224170918367346
88,sea,21.691645408163264
88,street,20.87531887755102
92,mountain,28.54591836734694
92,forest,20.915178571428573
92,buildings,20.978954081632654
92,sea,19.621332908163264
92,street,22.16438137755102
96,mountain,29.880420918367346
96,forest,19.555165816326532
96,buildings,21.033163265306122
96,sea,21.548947704081634
96,street,20.518973214285715
100,mountain,30.440051020408163
100,forest,23.047672193877553
100,buildings,24.082429846938776
100,sea,23.081951530612244
100,street,24.158960459183675
104,mountain,29.404496173469386
104,forest,23.339445153061224
104,buildings,24.141422193877553
104,sea,24.00749362244898
104,street,24.080038265306122
108,mountain,29.213169642857142
108,forest,23.067602040816325
108,buildings,23.691804846938776
108,sea,23.706154336734695
108,street,21.37595663265306
112,mountain,30.904815051020407
112,forest,23.14971301020408
112,buildings,26.261160714285715
112,sea,25.521364795918366
112,street,25.487882653061224
116,mountain,32.838010204081634
116,forest,24.601403061224488
116,buildings,27.680165816326532
116,sea,29.52248086734694
116,street,25.397002551020407
120,mountain,30.192123724489797
120,forest,26.13998724489796
120,buildings,26.542570153061224
120,sea,27.136479591836736
120,street,24.116709183673468
124,mountain,33.68144132653061
124,forest,25.525350765306122
124,buildings,27.478475765306122
124,sea,27.847576530612244
124,street,25.892059948979593
128,mountain,29.144610969387756
128,forest,23.205516581632654
128,buildings,23.840082908163264
128,sea,22.852359693877553
128,street,20.020727040816325
132,mountain,35.277423469387756
132,forest,23.031728316326532
132,buildings,28.11623086734694
132,sea,27.78778698979592
132,street,27.167570153061224
136,mountain,37.03204719387755
136,forest,25.731823979591837
136,buildings,29.161352040816325
136,sea,30.42251275510204
136,street,26.246811224489797
140,mountain,34.29926658163265
140,forest,26.917251275510203
140,buildings,27.496811224489797
140,sea,32.120535714285715
140,street,25.16342474489796
144,mountain,37.00175382653061
144,forest,29.21875
144,buildings,30.892059948979593
144,sea,33.162468112244895
144,street,29.910714285714285
148,mountain,37.98150510204081
148,forest,28.746014030612244
148,buildings,30.931122448979593
148,sea,34.4108737244898
148,street,28.42155612244898
152,mountain,36.837531887755105
152,forest,28.711734693877553
152,buildings,33.43032525510204
152,sea,34.67474489795919
152,street,33.565848214285715
156,mountain,40.89205994897959
156,forest,28.146524234693878
156,buildings,32.25286989795919
156,sea,37.256855867346935
156,street,29.65561224489796
160,mountain,39.51450892857143
160,forest,30.488679846938776
160,buildings,34.35108418367347
160,sea,36.38871173469388
160,street,31.393494897959183
164,mountain,42.732780612244895
164,forest,32.456951530612244
164,buildings,33.19116709183673
164,sea,37.52391581632653
164,street,32.85076530612245
168,mountain,41.76020408163265
168,forest,27.063934948979593
168,buildings,34.432397959183675
168,sea,38.31234056122449
168,street,32.95599489795919
172,mountain,44.136639030612244
172,forest,29.90752551020408
172,buildings,34.61973852040816
172,sea,38.421556122448976
172,street,32.06313775510204
176,mountain,42.69451530612245
176,forest,33.04926658163265
176,buildings,34.95296556122449
176,sea,39.53842474489796
176,street,32.84518494897959
180,mountain,43.41517857142857
180,forest,27.133290816326532
180,buildings,36.23804209183673
180,sea,40.47114158163265
180,street,34.93144132653061
184,mountain,45.13632015306123
184,forest,30.982940051020407
184,buildings,36.456473214285715
184,sea,42.73198341836735
184,street,35.23676658163265
188,mountain,44.8828125
188,forest,32.93925382653061
188,buildings,36.863839285714285
188,sea,41.65975765306123
188,street,35.86415816326531
192,mountain,46.26992984693877
192,forest,31.419802295918366
192,buildings,38.17442602040816
192,sea,43.819355867346935
192,street,36.54496173469388
196,mountain,47.43622448979592
196,forest,34.434789540816325
196,buildings,40.113201530612244
196,sea,44.241868622448976
196,street,36.275510204081634
200,mountain,45.697544642857146
200,forest,33.47735969387755
200,buildings,38.294802295918366
200,sea,45.12755102040816
200,street,37.40274234693877
204,mountain,48.43670280612245
204,forest,34.48262117346939
204,buildings,37.857142857142854
204,sea,41.32095025510204
204,street,36.08179209183673
208,mountain,49.50733418367347
208,forest,37.281568877551024
208,buildings,41.61352040816327
208,sea,45.645727040816325
208,street,41.23804209183673
212,mountain,48.836894132653065
212,forest,34.732142857142854
212,buildings,41.53300382653061
212,sea,46.0969387755102
212,street,39.847735969387756
216,mountain,47.51674107142857
216,forest,33.94610969387755
216,buildings,38.32509566326531
216,sea,42.779017857142854
216,street,34.75765306122449
220,mountain,49.99282525510204
220,forest,35.84422831632653
220,buildings,38.1999362244898
220,sea,43.030931122448976
220,street,36.489955357142854
224,mountain,49.25860969387755
224,forest,36.90688775510204
224,buildings,42.049585459183675
224,sea,45.95982142857143
224,street,39.849330357142854
228,mountain,49.422831632653065
228,forest,33.65194515306123
228,buildings,38.9453125
228,sea,46.29384566326531
228,street,36.66932397959184
232,mountain,49.4499362244898
232,forest,34.06489158163265
232,buildings,39.81425382653061
232,sea,47.16119260204081
232,street,37.94642857142857
236,mountain,51.20057397959184
236,forest,36.592793367346935
236,buildings,40.91597576530612
236,sea,48.4765625
236,street,38.465401785714285
240,mountain,50.93510841836735
240,forest,35.51578443877551
240,buildings,41.049107142857146
240,sea,49.23150510204081
240,street,39.48182397959184
244,mountain,51.00366709183673
244,forest,34.849330357142854
244,buildings,42.586894132653065
244,sea,48.58418367346939
244,street,40.10204081632653
248,mountain,53.773118622448976
248,forest,36.35283801020408
248,buildings,43.8671875
248,sea,50.125956632653065
248,street,39.41167091836735
252,mountain,51.756218112244895
252,forest,35.06058673469388
252,buildings,42.45057397959184
252,sea,50.36192602040816
252,street,39.749681122448976
256,mountain,53.71731505102041
256,forest,37.32382015306123
256,buildings,41.38233418367347
256,sea,50.887276785714285
256,street,41.18861607142857
260,mountain,53.19834183673469
260,forest,37.71045918367347
260,buildings,43.69658801020408
260,sea,49.891581632653065
260,street,43.2063137755102
264,mountain,53.40082908163265
264,forest,34.50175382653061
264,buildings,45.25829081632653
264,sea,51.91326530612245
264,street,44.337531887755105
268,mountain,54.94339923469388
268,forest,37.318239795918366
268,buildings,43.65274234693877
268,sea,51.69403698979592
268,street,42.94642857142857
272,mountain,56.10012755102041
272,forest,36.996173469387756
272,buildings,44.80389030612245
272,sea,51.12563775510204
272,street,44.22353316326531
276,mountain,51.841517857142854
276,forest,35.301339285714285
276,buildings,41.564094387755105
276,sea,50.560427295918366
276,street,41.96029974489796
280,mountain,55.14907525510204
280,forest,38.23182397959184
280,buildings,46.309789540816325
280,sea,52.75430484693877
280,street,44.11352040816327
284,mountain,54.3000637755102
284,forest,37.83003826530612
284,buildings,44.486607142857146
284,sea,51.51546556122449
284,street,40.78125
288,mountain,54.26578443877551
288,forest,36.791294642857146
288,buildings,45.71588010204081
288,sea,51.27471301020408
288,street,43.0827487244898
292,mountain,54.80947066326531
292,forest,38.46619897959184
292,buildings,46.33848852040816
292,sea,52.45615433673469
292,street,46.23086734693877
296,mountain,51.69244260204081
296,forest,38.11782525510204
296,buildings,43.89588647959184
296,sea,49.40927933673469
296,street,42.30229591836735
300,mountain,57.43861607142857
300,forest,39.81425382653061
300,buildings,45.50063775510204
300,sea,55.28140943877551
300,street,44.5280612244898
304,mountain,54.058514030612244
304,forest,38.75079719387755
304,buildings,44.009885204081634
304,sea,49.930644132653065
304,street,44.00829081632653
308,mountain,57.228156887755105
308,forest,39.49697066326531
308,buildings,46.43813775510204
308,sea,53.607302295918366
308,street,42.826052295918366
312,mountain,56.52264030612245
312,forest,36.25717474489796
312,buildings,44.67713647959184
312,sea,52.421875
312,street,42.96157525510204
316,mountain,57.34454719387755
316,forest,38.51323341836735
316,buildings,46.67251275510204
316,sea,53.597735969387756
316,street,44.06329719387755
320,mountain,56.70599489795919
320,forest,41.43096301020408
320,buildings,47.109375
320,sea,54.03619260204081
320,street,46.56887755102041
324,mountain,60.14349489795919
324,forest,42.1061862244898
324,buildings,47.83641581632653
324,sea,56.326530612244895
324,street,48.802614795918366
328,mountain,58.64955357142857
328,forest,41.099330357142854
328,buildings,47.34614158163265
328,sea,54.54799107142857
328,street,45.30771683673469
332,mountain,59.27056760204081
332,forest,40.36591198979592
332,buildings,47.37244897959184
332,sea,56.15911989795919
332,street,46.44052933673469
336,mountain,60.005580357142854
336,forest,38.43989158163265
336,buildings,46.77535076530612
336,sea,53.341039540816325
336,street,44.99282525510204
340,mountain,58.16167091836735
340,forest,38.793048469387756
340,buildings,48.29559948979592
340,sea,55.49744897959184
340,street,44.52088647959184
344,mountain,57.54703443877551
344,forest,41.856664540816325
344,buildings,49.65082908163265
344,sea,55.230389030612244
344,street,47.562181122448976
348,mountain,56.058673469387756
348,forest,39.87802933673469
348,buildings,47.13408801020408
348,sea,53.86240433673469
348,street,44.581473214285715
352,mountain,58.619260204081634
352,forest,39.517697704081634
352,buildings,49.280931122448976
352,sea,56.83115433673469
352,street,47.83482142857143
356,mountain,60.52455357142857
356,forest,41.1750637755102
356,buildings,48.228635204081634
356,sea,56.341677295918366
356,street,47.68734056122449
360,mountain,60.14907525510204
360,forest,42.38998724489796
360,buildings,48.90864158163265
360,sea,57.03125
360,street,48.18877551020408
364,mountain,60.24234693877551
364,forest,41.43255739795919
364,buildings,50.814732142857146
364,sea,57.10698341836735
364,street,48.92378826530612
368,mountain,58.96285076530612
368,forest,42.137276785714285
368,buildings,49.605389030612244
368,sea,55.974968112244895
368,street,46.8718112244898
372,mountain,59.639668367346935
372,forest,42.30947066326531
372,buildings,49.017857142857146
372,sea,57.476881377551024
372,street,48.10507015306123
376,mountain,60.45918367346939
376,forest,41.22130102040816
376,buildings,49.05771683673469
376,sea,56.8391262755102
376,street,46.830357142857146
380,mountain,60.86973852040816
380,forest,43.123405612244895
380,buildings,47.572544642857146
380,sea,56.24760841836735
380,street,43.926977040816325
384,mountain,60.66485969387755
384,forest,40.60108418367347
384,buildings,49.64923469387755
384,sea,57.50478316326531
384,street,44.79272959183673
388,mountain,60.25829081632653
388,forest,38.790656887755105
388,buildings,48.716517857142854
388,sea,56.63105867346939
388,street,46.05229591836735
392,mountain,60.34677933673469
392,forest,40.12914540816327
392,buildings,48.614477040816325
392,sea,57.369260204081634
392,street,47.359693877551024
396,mountain,61.46045918367347
396,forest,39.940210459183675
396,buildings,49.40449617346939
396,sea,56.77774234693877
396,street,46.844706632653065
400,mountain,58.97799744897959
400,forest,42.53826530612245
400,buildings,49.041772959183675
400,sea,57.04878826530612
400,street,48.341039540816325
